               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088479,            0.030934,                   0,             0.46149,              0.5099,             0.44389,             0.18282,            0.046918,            0.012034,                   0,            0.070178,           0.0033136,           0.0033136
                   1,            0.062502,             0.02477,                   0,             0.60078,             0.68317,             0.64169,             0.29712,            0.039779,           0.0086707,                   0,            0.040046,           0.0065153,           0.0065153
                   2,            0.054684,            0.022045,                   0,             0.61502,             0.73267,              0.6289,              0.2249,            0.041447,           0.0074008,                   0,           0.0097823,           0.0095851,           0.0095851
                   3,            0.048545,            0.020791,                   0,             0.77161,             0.79703,             0.82395,             0.37176,            0.034249,           0.0080483,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.045834,            0.019984,                   0,             0.81407,             0.84534,             0.86647,             0.43831,            0.033161,           0.0075586,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.044224,            0.019805,                   0,             0.80978,             0.86404,             0.86502,             0.44456,            0.031184,           0.0073908,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.040152,            0.019607,                   0,             0.88692,             0.81543,              0.8745,             0.44213,            0.031221,           0.0068882,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.040066,            0.018914,                   0,             0.77325,             0.87784,             0.87916,             0.47107,            0.030404,           0.0073092,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.038603,            0.019282,                   0,             0.87633,             0.86139,              0.9063,             0.47852,            0.029591,           0.0068483,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.038916,            0.018993,                   0,               0.863,             0.84195,             0.90399,             0.49849,            0.028251,           0.0071473,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.037014,            0.018301,                   0,             0.87184,             0.84191,             0.90073,             0.49092,            0.029359,           0.0070139,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.037846,            0.018368,                   0,             0.82288,             0.89697,             0.89851,             0.47815,            0.029498,           0.0070383,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.035451,            0.018309,                   0,             0.83942,             0.85398,             0.90504,             0.50303,            0.027871,            0.006986,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.035335,             0.01787,                   0,             0.83566,             0.92574,             0.92876,             0.52706,            0.028813,           0.0065536,                   0,            0.007624,            0.007624,            0.007624
